id,name,gender,member_since,year_of_birth,place_of_birth,genres
1159,Beth Hoffman,female,May 25 2015,1963,Portugal,Fiction
1160,Thea Harrison,male,September 13 2008,1956,Turkey,Romance$Science Fiction
1161,Ken Kesey,male,March 3 2014,1998,Uruguay,Fiction
1162,Connie Suttle,female,October 17 2014,1984,Israel,Science Fiction
1163,Katie Hayoz,female,April 18 2018,1956,Uruguay,Science Fiction
1164,Arthur Conan Doyle,male,December 13 2015,1955,Sweden,Science Fiction$Crime
1165,Megan Shepherd,female,October 18 2011,1974,Gambia,Young Adult
1166,Nawal El-Saadawi,female,July 25 2010,1978,Croatia,Nonfiction$Women Gender Studies
1167,Mary  Elizabeth,female,October 28 2010,1973,Burkina,Romance
1168,Cindy L.  Rodriguez,male,December 11 2013,1990,Laos,Contemporary
1169,Harlan Coben,male,February 18 2008,1958,Ireland,Mystery
1170,Ella Dominguez,female,December 8 2014,1993,Angola,Romance
1171,Annie Seaton,female,May 6 2010,1966,Chile,Contemporary
1172,Kathleen Peacock,female,July 4 2016,1959,America,Young Adult$Science Fiction$Thriller
1173,Owen Wister,male,December 18 2008,1955,England,Thriller
1174,Henning Mankell,male,April 24 2009,1952,Syria,Thriller$Fiction
1175,Robert K. Massie,male,May 5 2019,1979,Cyprus,History
1176,Ais,male,March 3 2019,1960,Comoros,Gay Lesbian
1177,Laramie Briscoe,female,July 10 2007,1962,Paraguay,Romance$Suspense
1178,Sue Townsend,female,May 16 2017,1974,Belgium,Fiction
1179,Lisa McMann,female,April 13 2018,1952,Israel,Young Adult
1180,Adam Carolla,male,September 4 2013,1952,Wales,Humor
1181,Carol Pavliska,female,October 25 2015,1972,Tonga,Romance
1182,Laurann Dohner,male,August 6 2010,1977,Bosnia,Romance
1183,Beth K. Vogt,female,December 20 2010,1983,Samoa,Science Fiction
1184,Ted Chiang,male,November 5 2019,1973,Comoros,Science Fiction$Science Fiction$Speculative
1185,John Grogan,male,March 1 2016,1958,Greece,Biographies Memoirs
1186,Mary Ann Shaffer,female,August 2 2010,1990,St Lucia,Fiction
1187,Gemma Malley,male,May 23 2007,1976,Armenia,Young Adult
1188,Cynthia B. Ainsworthe,female,December 4 2018,1977,Peru,Romance
1189,Christiane F.,female,March 18 2014,1973,Algeria,Biographies Memoirs
1190,Dale Carnegie,male,November 8 2008,1975,Australia,Nonfiction$Biographies Memoirs
1191,Arthur C. Clarke,male,September 17 2014,1992,South Africa,Science Fiction$Science Fiction
1192,J.D. Tyler,female,December 23 2008,1985,Brunei,Romance
1193,Todd Strasser,male,June 8 2015,1962,Singapore,Young Adult
1194,Mia James,male,May 7 2015,1986,Scotland,Science Fiction$Young Adult
1195,John McCain,male,February 14 2011,1969,Malaysia,Biographies Memoirs$Nonfiction
1196,C.E. Morgan,female,May 7 2012,1979,Nauru,Fiction
1197,Trudi Canavan,female,August 17 2014,1973,Guyana,Science Fiction
1198,Colum McCann,male,August 1 2016,1980,East Timor,Fiction$Biographies Memoirs
1199,Karen Healey,male,April 17 2014,1972,Kyrgyzstan,Young Adult
1200,Idir Aitsahalia,male,January 8 2015,1985,Saudi Arabia,Contemporary$Science Fiction
1201,L.H. Nicole,female,March 21 2009,1965,Andorra,Young Adult
1202,Chris  Watson,male,March 22 2019,1972,Greece,Business$Fiction
1203,Stephen Brusatte,male,April 3 2011,1997,Latvia,Science Fiction
1204,C.S. Pacat,male,May 11 2019,1967,Estonia,Science Fiction
1205,K.A. Mitchell,female,September 18 2010,1978,Colombia,Gay Lesbian
1206,Simone St. James,female,February 15 2017,1985,South Africa,Thriller
1207,Donna K. Childree,female,January 16 2012,1984,Guyana,Science Fiction
1208,Clare Vanderpool,female,November 3 2010,1951,Ireland,Children S Books
1209,Rick Riordan,male,May 28 2011,1983,Cuba,Children S
1210,Ed McBain,male,April 16 2008,1978,Australia,Fiction$Crime
1211,Sarah Jio,female,July 24 2015,1966,Palau,Fiction
1212,John  Cassian,male,May 11 2019,1970,Myanmar,Horror$Thriller$Crime
1213,Macy Beckett,male,November 4 2017,1976,Mauritania,Romance
1214,Stephanie  Diaz,female,November 14 2015,1961,Vatican,Young Adult
1215,Michael Crummey,male,December 23 2011,1980,Wales,Fiction$Poetry
1216,P.J.  Adams,female,May 27 2008,1958,East Timor,Romance$Suspense
1217,Francisco X. Stork,male,September 10 2013,1985,Canada,Fiction$Young Adult
1218,John Varley,male,September 11 2010,1976,Belgium,Science Fiction
1219,Miley Cyrus,female,April 11 2011,1961,Andorra,Entertainment
1220,Cordelia Kingsbridge,male,April 11 2009,1977,Sierra Leone,Gay And Lesbian
1221,Petra F. Bagnardi,female,August 22 2017,1986,Lebanon,Science Fiction$Contemporary
1222,David Sedaris,male,September 23 2019,1984,Thailand,Memoir$Humor
1223,Eckhart Tolle,male,June 26 2010,1959,Ukraine,Spirituality$Self Help
1224,Mark  Lawrence,male,May 26 2017,1960,Paraguay,Fantasy
1225,Kate Wilhelm,female,October 5 2016,1985,Fiji,Science Fiction$Thriller
1226,Lawrence Ferlinghetti,male,July 5 2010,1984,Bolivia,Poetry
1227,Jennifer Latham,male,May 4 2007,1994,Palau,Young Adult
1228,Ellen Schreiber,male,March 7 2009,1956,Haiti,Young Adult
1229,John  White,male,March 25 2008,1976,Wales,Religion Spirituality$Science Fiction
1230,Oliver La Farge,male,October 21 2014,1961,Belgium,Fiction$Nonfiction
1231,Meljean Brook,female,November 21 2014,1998,Croatia,Romance
1232,Lisa Tawn Bergren,male,December 9 2018,1962,South Sudan,Historical
1233,Joyce Carol Oates,female,January 18 2019,1972,Malawi,Fiction
1234,Jane Porter,male,June 6 2017,1984,Canada,Romance
1235,David Brin,male,March 1 2019,1970,Mauritius,Science Fiction
1236,Isaac Asimov,male,September 1 2014,1998,Kazakhstan,Science Fiction$Thriller
1237,Laura Joffe Numeroff,male,May 4 2013,1993,Tunisia,Children S Books
1238,Gerri Chanel,female,August 4 2013,1953,Bulgaria,Fiction
1239,Robert Graves,male,July 8 2011,1957,Solomon,Fiction$Poetry$Biographies Memoirs
1240,Harry Turtledove,male,July 19 2012,1956,Haiti,Science Fiction
1241,Catherine Jinks,female,October 27 2012,1967,Laos,Fiction$Children S Books
1242,Michael Cox,male,August 10 2014,1983,Singapore,Fiction$Biographies Memoirs
1243,Flann O'Brien,male,December 9 2009,1962,France,Science Fiction$Science Fiction
1244,Jacqueline Sheehan,male,April 25 2016,1962,Zimbabwe,Fiction
1245,Diane Mannino,male,May 10 2013,1971,Liechtenstein,Young Adult$Romance
1246,Lauren Strasnick,male,August 14 2018,1995,Cambodia,Young Adult
1247,Helena Hunting,female,April 28 2007,1977,Albania,Romance
1248,Jenni James,male,January 23 2013,1973,Myanmar,Young Adult
1249,William Hertling,male,December 2 2019,1988,Brazil,Science Fiction
1250,Anne Morrow Lindbergh,female,November 13 2019,1984,Qatar,Biographies Memoirs$Nonfiction
1251,Kathy Reichs,female,November 24 2019,1960,Scottish,Thriller
1252,Chris Bachelder,male,March 20 2007,1958,Mauritius,Fiction
1253,Christina Baker Kline,male,January 24 2019,1967,Latvia,Science Fiction
1254,Daisy Whitney,female,February 1 2007,1958,Benin,Young Adult
1255,Candace Calvert,male,February 19 2007,1965,Lebanon,Christian Fiction
1256,Pittacus Lore,male,August 10 2007,1951,Monaco,Young Adult$Science Fiction
1257,Christina  Farley,female,August 25 2018,1952,Guatemala,Young Adult
1258,Gary Chapman,male,February 7 2019,1960,Liechtenstein,Christian Fiction
1259,Chuck Palahniuk,male,April 27 2018,1987,United Kingdom,Fiction
1260,Ciji Ware,female,December 8 2018,1984,Jamaica,Historical
1261,Mary Crow Dog,female,June 13 2014,1989,Welsh,Memoir
1262,Paul Aertker,male,December 21 2018,1978,Wales,Children S
1263,Jen McLaughlin,female,January 17 2007,1963,Taiwan,Romance$Young Adult
1264,Lily Foster,female,May 8 2013,1954,Canada,New Adult
1265,Chris O'Mara,male,September 10 2010,1968,Tunisia,Fantasy
1266,Amanda Sun,male,December 14 2008,1971,Scotland,Young Adult
1267,Sofia Grey,female,May 18 2008,1978,United States,Romance
1268,Robert    Carter,male,December 18 2009,1969,Kiribati,Science Fiction
1269,Stephen B. Oates,male,February 15 2012,1974,Chad,Biographies Memoirs$History
1270,Alan Garner,male,August 22 2014,1951,Paraguay,Science Fiction$Children S Books
1271,Connilyn Cossette,female,September 20 2007,1987,Turkey,Historical
1272,Robin Alexander,female,September 2 2011,1961,Peru,Fiction$Romance
1273,Bret Easton Ellis,male,September 2 2018,1956,Comoros,Satire
1274,R.A. Salvatore,male,July 26 2007,1964,South Sudan,Science Fiction
1275,Barbara Kyle,male,May 4 2015,1952,Italy,Historical
1276,Mira W.,male,March 19 2011,1950,Zambia,Fiction
1277,Lauren Conrad,female,May 5 2010,1985,Russia,Young Adult
1278,Clarissa Goenawan,female,May 20 2017,1962,Sweden,Science Fiction$Mystery
1279,Leslie Feinberg,male,August 16 2017,1974,Belgium,Science Fiction$Gay And Lesbian
1280,Anne Sexton,female,December 13 2018,1968,Saudi Arabia,Poetry
1281,Robert N. Charrette,male,August 22 2017,1961,Mexico,Science Fiction
1282,Will Jordan,male,May 20 2009,1998,Burma,Thriller
1283,Rize Shinba,male,December 7 2019,1989,Guinea,Manga
1284,Meg Leder,female,June 10 2018,1956,Mali,Contemporary$Romance
1285,Charlotte Perkins Gilman,female,September 7 2016,1995,Ecuador,Science Fiction$Sociology$Poetry
1286,J.C. Owens,male,October 23 2016,1982,Comoros,Gay Lesbian$Romance
1287,Geoff  Laughton,male,August 23 2008,1985,Macedonia,Gay And Lesbian
1288,Melissa Mayhue,female,March 8 2017,1989,France,Romance
1289,James Agee,male,July 7 2019,1975,Lesotho,Entertainment$Fiction$Poetry
1290,Karen Kincy,female,April 20 2008,1992,Emirate,Science Fiction$Romance
1291,J.P. Bowie,male,February 14 2012,1972,Burma,Gay Lesbian$Romance
1292,Keary Taylor,female,November 18 2019,1998,Turkey,Science Fiction
1293,Leisa Rayven,male,November 25 2015,1982,Mauritius,Romance
1294,Georgina Guthrie,female,February 28 2013,1960,Congo,Fiction
1295,Jim Grimsley,male,October 20 2015,1970,Bangladesh,Science Fiction
1296,Perry Moore,male,June 26 2018,1986,Madagascar,Gay Lesbian$Young Adult
1297,Trinity Faegen,female,October 22 2016,1999,Korea,Young Adult
1298,Nancy Springer,female,January 5 2019,1977,Costa Rica,Science Fiction
1299,Kim Culbertson,male,February 2 2017,1971,Sudan,Young Adult
1300,Jaye McKenna,female,January 19 2010,1978,Denmark,Gay And Lesbian
1301,Luigi Pirandello,male,September 9 2007,1971,Lebanon,Fiction$Theatre
1302,C. Vann Woodward,male,May 5 2019,1994,Azerbaijan,History$Biography
1303,Zora Neale Hurston,female,August 5 2015,1993,Pakistan,Science Fiction$Poetry
1304,Rodman Philbrick,male,March 24 2018,1992,Latvia,Children S Books
1305,Diane  Adams,male,August 10 2009,1971,Congo,Gay And Lesbian$Romance
1306,Henri Charrière,male,September 13 2016,1976,Cambodia,Biographies Memoirs
1307,Archie Comics,male,October 7 2010,1973,Benin,Comics Graphic Novels$Humor
1308,Dorothy Dreyer,male,February 13 2010,1998,Chile,Young Adult
1309,R.C. Stephens,female,September 20 2018,1995,Pakistan,Romance
1310,Nicky Charles,female,October 9 2013,1989,Belarus,Romance$Paranormal
1311,Amy Poehler,female,July 3 2008,1997,Maldives,Fiction$Humor
1312,Mary Downing Hahn,female,January 6 2016,1972,Ivory Coast,Children S Books$Young Adult
1313,Adriana Noir,female,September 23 2016,1958,Czech,Dark
1314,Molly O'Keefe,female,September 6 2013,1992,Moldova,Romance
1315,P. Craig Russell,male,November 26 2009,1996,Luxembourg,Comics Graphic Novels$Gay Lesbian
1316,Melissa Brayden,male,August 21 2013,1996,Bissau,Romance
1317,David Estes,male,October 7 2018,1965,Colombia,Science Fiction
1318,Lisa Schroeder,female,January 12 2013,1988,Nepal,Young Adult$Children S Books
1319,Roxanne St. Claire,male,October 21 2008,1977,United States,Romance
1320,Flora Rheta Schreiber,male,January 5 2007,1970,Wales,Biographies Memoirs
1321,Hailey Abbott,female,March 16 2011,1958,Chad,Young Adult$Romance$Contemporary
1322,Jessie G.,male,November 7 2011,1999,Albania,Gay And Lesbian
1323,Anna Akhmatova,female,April 13 2013,1987,Seychelles,Poetry
1324,H. Beam Piper,male,November 2 2017,1950,Venezuela,Science Fiction$Thriller
1325,Viktor E. Frankl,male,June 4 2008,1987,East Timor,Memoir$Psychology
1326,Judy Blume,female,October 10 2014,1964,Panama,Children S Books
1327,Eric Clapton,male,December 27 2010,1968,Paraguay,Biographies Memoirs$Entertainment
1328,Jeanette Murray,female,August 11 2012,1982,USA,Romance
1329,Caroline Kepnes,female,September 10 2013,1987,Ethiopia,Thriller
1330,S.E. Jakes,female,August 25 2015,1986,Belize,Romance
1331,D.K. Cassidy,female,May 27 2008,1976,Madagascar,Science Fiction
1332,Jessica Warman,female,September 21 2015,1998,Greece,Fiction$Young Adult
1333,Ellen Hopkins,female,October 16 2012,1982,Guatemala,Fiction$Young Adult
1334,Zhuangzi,male,April 10 2017,1977,Belgium,Philosophy
1335,Johnny Gruelle,male,September 20 2012,1964,Turkey,Children S Books
1336,Garth Nix,male,July 21 2014,1991,Kenya,Science Fiction
1337,Rumiko Takahashi,female,September 1 2009,1984,Taiwan,Manga
1338,Doug Dillon,male,November 8 2016,1978,Peru,Fiction
1339,Jerold J. Kreisman,male,December 15 2009,1969,Mexico,Health Mind Body
1340,Mary Renault,female,January 12 2007,1991,Libya,Fiction$Historical
1341,Nathan Burgoine,male,July 13 2007,1962,Bhutan,Gay Lesbian
1342,Alan Lightman,male,March 15 2015,1976,Armenia,Fiction$Science Fiction
1343,Sarah Beth Durst,female,May 9 2013,1958,Macedonia,Fantasy
1344,Cathy Gohlke,female,October 26 2013,1952,Palau,Historical
1345,Misty Paquette / Misty Provencher,female,January 27 2017,1973,Romania,Fantasy
1346,Karen   White,female,October 26 2011,1994,Great Britain,Science Fiction
1347,Susanna Clarke,female,September 17 2013,1966,Wales,Science Fiction$History
1348,E.D. Walker,female,August 20 2013,1993,Malawi,Romance
1349,Kristin Riddick,male,August 10 2018,1973,Kuwait,Science Fiction
1350,Suzanne Enoch,female,April 18 2012,1953,Colombia,Romance
1351,Sara Ryan,male,August 5 2011,1962,Tonga,Young Adult
1352,M.E. Carter,male,May 26 2012,1983,Iraq,Romance$Sports and Games
1353,Jenn Lyons,female,May 21 2015,1953,Estonia,Fantasy
1354,Irving Stone,male,March 9 2009,1970,Chile,Fiction$Arts Photography$History
1355,Sara Paretsky,female,January 1 2016,1958,Estonia,Thriller
1356,D.M. Wolfenden,male,November 28 2008,1996,Italy,Horror$Science Fiction
1357,Joanne Harris,female,May 15 2015,1984,Guatemala,Fiction
1358,Heather  Webb,female,July 19 2018,1966,Fiji,Historical
1359,Elif Shafak,female,December 3 2014,1965,Netherlands,Science Fiction
1360,Hazel Gaynor,female,May 15 2012,1987,Antigua,Historical
1361,David Gemmell,male,August 26 2014,1975,Argentina,Science Fiction
1362,M-E Girard,male,May 14 2010,1989,Honduras,Young Adult
1363,Angela Morrison,male,May 8 2014,1990,Italy,Young Adult
1364,Deborah  Brown,female,May 1 2013,1989,British,Thriller
1365,D.D. Barant,male,March 8 2012,1974,Hungary,Science Fiction
1366,Yoshiki Nakamura,female,February 20 2016,1974,Ghana,Comics Graphic Novels$Romance$Humor
1367,Amanda Palmer,female,December 8 2017,1973,Ghana,Fiction$Arts Photography
1368,Rebecca Zanetti,male,January 22 2019,1969,Afghanistan,Romance$Paranormal
1369,Tracie Puckett,male,April 25 2014,1963,Sweden,Young Adult
1370,Lisa Voisin,female,August 14 2013,1975,Rwanda,Young Adult
1371,Ilona Andrews,male,March 28 2019,1955,America,Science Fiction
1372,Barry Lyga,male,April 3 2009,1959,Korea,Fiction$Comics Graphic Novels
1373,Umberto Eco,male,November 18 2019,1962,Antigua,Historical
1374,Audie Murphy,male,June 14 2007,1957,England,Biography$Poetry
1375,Cheryl Koevoet,male,January 6 2011,1960,Vatican,Fantasy
1376,Georgina Hannan,male,April 3 2010,1951,Zimbabwe,Young Adult
1377,Jean de Brunhoff,male,April 4 2017,1960,Central African Republic,Children S Books$Gentle Satire
1378,James Lee Burke,male,May 24 2017,1964,Uzbekistan,Thriller
1379,Ellen Datlow,female,July 2 2014,1970,South Sudan,Science Fiction
1380,John Milton,male,December 21 2011,1959,Sao Tome,Poetry$Politics
1381,Laura Esquivel,female,October 3 2019,1953,Burkina,Science Fiction
1382,Arnold Bennett,male,March 11 2019,1998,Tajikistan,Science Fiction
1383,Michel Faber,male,May 4 2008,1960,Monaco,Fiction$Science Fiction
1384,Cindy Bauer,female,November 10 2010,1958,Luxembourg,Thriller$Crime
1385,Jonathan  Miles,male,June 28 2008,1977,Albania,Science Fiction
1386,Patrick O'Brian,male,January 8 2018,1960,Angola,Fiction$Biographies Memoirs
1387,Juli Page Morgan,female,February 14 2015,1958,Cuba,Romance
1388,Rachel  Morgan,female,September 22 2012,1983,Uganda,Young Adult
1389,Jaycee DeLorenzo,female,March 8 2015,1953,El Salvador,Romance
1390,Scott B. Smith,male,August 17 2015,1981,Laos,Horror$Thriller$Entertainment
1391,Katherine Applegate,female,October 3 2016,1989,Emirate,Science Fiction
1392,Jack Hessey,male,February 28 2012,1999,Israel,Science Fiction
1393,Midge Raymond,female,December 23 2017,1950,Mauritania,Fiction
1394,Connie Willis,female,December 27 2014,1992,Cameroon,Science Fiction$Fantasy
1395,Kate Riordan,female,December 27 2012,1952,Bangladesh,Science Fiction$Mystery
1396,Lisa Jackson,male,December 3 2009,1987,Moldova,Romance
1397,Peter V. Brett,male,November 10 2015,1971,Serbia,Science Fiction
1398,Nalini Singh,male,August 25 2019,1962,Croatia,Romance$Science Fiction
1399,Kaizen Elizabeth Love,female,July 19 2009,1955,Somalia,Science Fiction
1400,Michelle  Adams,male,June 17 2014,1997,British,Children S Books$Fiction
1401,Irene Preston,female,September 8 2008,1954,Burkina,Romance
1402,D.J. Molles,male,November 26 2019,1983,Mauritius,Fiction$Horror$Science Fiction
1403,Jonathan Maberry,male,October 7 2010,1966,Belarus,Thriller
1404,Nicole Hill,male,August 22 2008,1997,Zimbabwe,Thriller
1405,Jeff Sampson,male,March 19 2008,1982,Malawi,Young Adult$Science Fiction
1406,Founding Fathers,male,January 6 2007,1984,Czech,Fiction
1407,Len Deighton,male,March 26 2008,1981,Sudan,Thriller$Historical
1408,Joelle Charbonneau,male,March 8 2016,1996,Swaziland,Thriller
1409,Thomas Buergenthal,male,August 23 2018,1976,Laos,Nonfiction$Memoir$History
1410,Elizabeth   Hunter,female,March 22 2011,1958,Holland,Science Fiction
1411,Simone Pond,male,April 7 2018,1989,Croatia,Science Fiction
1412,Spider Robinson,male,August 8 2010,1980,Andorra,Science Fiction$Fantasy
1413,Kimber S. Dawn,male,March 21 2013,1990,Israel,Romance
1414,Rowan Speedwell,female,February 10 2007,1970,Comoros,Romance$Gay Lesbian
1415,Philip Pullman,male,August 17 2010,1965,Namibia,Children S Books
1416,Luis Carlos Montalván,male,July 13 2008,1975,Argentina,Biographies Memoirs
1417,Miguel Syjuco,male,July 14 2018,1966,Australia,Fiction
1418,Victoria Thompson,female,November 8 2014,1977,Grenadines,Historical
1419,Mitch Albom,male,October 2 2008,1987,Swaziland,Biographies Memoirs
1420,Sara Shepard,female,August 22 2010,1984,Russia,Young Adult
1421,Jessica Verday,male,January 26 2012,1989,Lesotho,Children S Books$Young Adult
1422,Sherry Thomas,female,January 16 2007,1959,Italy,Mystery
1423,Sharon Kay Penman,female,September 3 2012,1995,Sweden,Fiction
1424,Shawna Romkey,female,July 11 2013,1966,Peru,Young Adult
1425,Shelly Laurenston,female,June 10 2008,1986,Tonga,Romance$Paranormal
1426,Malcolm Gladwell,male,June 6 2013,1984,Welsh,Business$Fiction
1427,Devon Hartford,male,March 16 2014,1962,Emirate,Romance
1428,Robert W. Chambers,male,June 27 2009,1993,Kuwait,Science Fiction$Horror$Historical
1429,Heather Jensen,male,April 2 2013,1962,Kiribati,Young Adult
1430,Rory Freedman,female,September 2 2013,1957,Laos,Nonfiction
1431,George Carlin,male,May 24 2014,1979,Afghanistan,Biographies Memoirs$Nonfiction
1432,Hideaki Sorachi,male,December 24 2015,1994,Lesotho,Comics Graphic Novels
1433,Trel W. Sidoruk,male,December 11 2013,1974,Cameroon,Thriller$Fantasy
1434,Barry Finlay,male,January 13 2013,1976,India,Science Fiction
1435,Michael Ende,male,July 7 2008,1964,Senegal,Children S Books$Fiction
1436,Lynn Austin,female,August 13 2011,1980,Argentina,Fiction$Religion Spirituality
1437,Christina Lauren,male,November 15 2013,1966,France,Romance
1438,Christina Brooke,female,January 21 2015,1965,Bangladesh,Romance
1439,Robin Schone,male,October 5 2014,1993,Paraguay,Romance$Historical
1440,Matt Ridley,male,July 20 2008,1955,St Kitts,Science Fiction
1441,Donna Tartt,female,October 20 2016,1957,Slovenia,Science Fiction$Short Stories
1442,Leslye Walton,female,June 12 2019,1965,Iran,Young Adult
1443,Kelly Thompson,female,January 7 2008,1997,Croatia,Young Adult
1444,Kara Dalkey,female,March 5 2018,1988,United Kingdom,Science Fiction$Young Adult
1445,Gil Adamson,female,August 16 2016,1996,Sierra Leone,Fiction$Short Stories
1446,Simon W. Clark,male,July 15 2011,1999,Mali,Thriller$Horror
1447,Richard Siken,male,March 8 2017,1967,Czech,Poetry
1448,Kristen Simmons,female,May 3 2018,1951,Croatia,Young Adult
1449,Keri Smith,female,July 8 2017,1965,Tajikistan,Arts Photography$Crafts Hobbies
1450,Alaa Al Aswany,male,February 1 2008,1965,Marshall,Fiction
1451,V.L. Jennings,female,September 16 2007,1999,Togo,Science Fiction
1452,Chris   Rose,female,May 11 2011,1977,New Zealand,Science Fiction
1453,Emily Snow,female,November 23 2017,1997,Oman,Romance
1454,Helen Boswell,female,September 3 2019,1955,Ethiopia,Paranormal
1455,Steven Galloway,male,February 3 2018,1980,Madagascar,Fiction
1456,Gena Showalter,female,December 24 2012,1994,Swaziland,Romance$Young Adult
1457,Sandhya Menon,male,August 3 2014,1952,Zimbabwe,Young Adult
1458,Danielle Trussoni,female,April 17 2019,1955,Turkey,Fiction
1459,Lisa Jervis,male,March 5 2019,1963,USA,Nonfiction$Cooking Food Wine
1460,Russel Lazega,male,October 24 2017,1977,Grenadines,Memoir
1461,Diane Ackerman,female,September 7 2013,1974,East Timor,Nonfiction
1462,Bec McMaster,female,October 7 2009,1970,Zambia,Romance
1463,Normandie Alleman,female,October 28 2012,1992,Germany,Romance
1464,Jodie Lynn Zdrok,female,February 11 2018,1955,Romania,Young Adult
1465,Eugene O'Neill,male,October 7 2011,1990,Mozambique,Theater
1466,Friedrich Nietzsche,male,August 8 2011,1994,Brazil,Philosophy$Science
1467,Rachel Vail,male,September 18 2018,1959,Russia,Young Adult
1468,Michelle Madow,female,October 25 2015,1988,Turkey,Fantasy
1469,Claire Contreras,female,June 18 2013,1997,Egypt,Romance
1470,David Sosnowski,male,March 21 2011,1954,Niger,Fiction
1471,Dan Rabarts,male,October 15 2014,1950,Eritrea,Fantasy$Science Fiction
1472,Cayla Kluver,female,May 19 2014,1987,Lesotho,Young Adult
1473,Jay Bell,male,July 22 2012,1966,Turkmenistan,Science Fiction
1474,Wendelin Van Draanen,female,December 6 2012,1967,Bahamas,Young Adult
1475,Mark Tufo,male,November 28 2016,1984,Wales,Horror
1476,Lisa Kleypas,female,September 10 2012,1989,Solomon,Romance$Fiction
1477,Peter Mayle,male,April 15 2010,1984,Malaysia,Travel$Nonfiction
1478,C.B. Conwy,male,June 9 2010,1968,Great Britain,Gay Lesbian$Romance
1479,Joseph Moldover,male,January 12 2010,1984,Brunei,Young Adult
1480,Tracey Garvis Graves,female,August 1 2017,1984,Bulgaria,Romance
1481,Annie Sullivan,male,October 20 2013,1984,Albania,Young Adult$Fantasy
1482,Rosary  McQuestion,female,June 6 2014,1974,Morocco,Romance
1483,Peter   John,female,May 18 2018,1969,Bolivia,Paranormal
1484,Douglas Coupland,male,July 6 2010,1972,Uzbekistan,Fiction
1485,Jamie Eubanks,male,June 6 2015,1971,Sao Tome,Suspense
1486,Jeph Loeb,male,August 14 2007,1956,Welsh,Comics Graphic Novels
1487,Brooklyn Skye,female,February 3 2014,1957,East Timor,Contemporary
1488,Sophocles,male,October 10 2015,1979,Burkina,Theatre$Poetry
1489,Jun'ichirō Tanizaki,male,July 23 2015,1979,Croatia,Fiction$Fiction
1490,Jeff Wheeler,male,March 9 2012,1969,Nepal,Science Fiction
1491,Mark   Tompkins,male,October 26 2009,1989,South Sudan,Historical
1492,Elle Casey,female,August 26 2014,1980,Sao Tome,Fantasy
1493,Rick Yancey,male,October 25 2019,1966,Serbia,Thriller
1494,Jennifer Gilmore,female,September 25 2018,1969,New Zealand,Fiction
1495,Dave Gibbons,male,January 9 2013,1954,Kuwait,Comics Graphic Novels
1496,Stacey R. Campbell,female,January 1 2008,1972,Maldives,Young Adult
1497,Marcus Alexander,male,June 8 2013,1985,Brunei,Fantasy$Children S
1498,Megan O'Brien,female,January 21 2012,1986,Iraq,Romance
1499,Brandy Purdy,male,November 22 2016,1968,Iceland,Historical
1500,Hermann Hesse,male,February 14 2013,1956,Serbia,Science Fiction$Poetry
1501,Sara  King,male,June 1 2011,1970,Russia,Science Fiction$Romance
1502,Elle Jasper,female,March 5 2008,1989,Djibouti,Science Fiction
1503,Kieran Scott,female,May 9 2013,1960,Indonesia,Young Adult
1504,Jill Hathaway,female,February 4 2011,1958,Sierra Leone,Young Adult
1505,Omar Barghouti,male,October 20 2012,1986,Zambia,Nonfiction
1506,Paula Brackston,female,March 16 2018,1972,Sri Lanka,Historical$Fantasy
1507,A. Lynden Rolland,female,February 12 2010,1973,Uzbekistan,Young Adult
1508,P.J. Fiala,male,May 22 2011,1991,Latvia,Romance
1509,Riko Miyagi,male,September 14 2007,1990,Lithuania,Romance$Comics Graphic Novels$Humor
1510,Robin McKinley,female,July 1 2019,1998,Liechtenstein,Science Fiction
1511,Lucian Bane,male,March 8 2010,1950,Turkey,Romance
1512,John Van Stry,male,February 9 2010,1951,Myanmar,Science Fiction$Fantasy
1513,Annie Proulx,female,May 20 2009,1956,East Timor,Fiction$Short Stories$Cooking Food Wine
1514,Amanda Bonilla,female,April 3 2009,1960,Burundi,Science Fiction
1515,Amanda Quick,female,August 23 2007,1980,Bhutan,Romance
1516,Erika Kelly,female,March 6 2015,1954,Sao Tome,Romance
1517,Paige Weaver,female,July 22 2014,1993,Nicaragua,Romance
1518,Brian Selznick,male,November 23 2017,1994,Barbados,Children S Books$Arts Photography
1519,Belinda Boring,female,April 19 2018,1986,Switzerland,Romance
1520,Diane Magras,female,March 15 2019,1984,Malta,Children S
1521,Anita Amirrezvani,male,November 5 2007,1996,Guyana,Fiction
1522,Leigh Michaels,female,May 9 2016,1983,Peru,Romance$History
1523,Lili St. Crow,female,March 10 2015,1960,Switzerland,Science Fiction
1524,Chancery Stone,female,June 27 2008,1957,Nigeria,Fiction$Thriller
1525,Christina Boyd,female,August 14 2011,1993,Taiwan,Historical$Romance
1526,Karina Yan Glaser,female,April 14 2015,1967,Tobago,Children S
1527,Kaylea Cross,female,September 13 2013,1962,Myanmar,Romance
1528,Fyodor Dostoyevsky,male,November 7 2016,1969,Kazakhstan,Science Fiction$Psychology
1529,Bảo Ninh,male,October 22 2019,1985,Argentina,Science Fiction
1530,Louisa May Alcott,female,May 19 2016,1965,Honduras,Fiction$Historical
1531,Sam Crescent,female,November 3 2010,1969,Panama,Romance
1532,Sean Kennedy,male,April 15 2015,1954,Macedonia,Gay Lesbian
1533,Lao Tzu,male,March 22 2010,1986,Iran,Philosophy
1534,Anne Perry,female,July 5 2011,1994,Honduras,Fiction
